,gene,gene_link,number_of_families,novel_gene,phenotype_class,report_link
508,CDH6,https://mygene2.org/MyGene2/variantsbygene?gene=CDH6,1,,,
509,CDK11A,https://mygene2.org/MyGene2/variantsbygene?gene=CDK11A,1,,,
510,CDK16,https://mygene2.org/MyGene2/variantsbygene?gene=CDK16,1,,,
511,CDK5RAP3,https://mygene2.org/MyGene2/variantsbygene?gene=CDK5RAP3,1,,,
512,CDK9,https://mygene2.org/MyGene2/variantsbygene?gene=CDK9,1,,,
513,CDON,https://mygene2.org/MyGene2/variantsbygene?gene=CDON,1,,,
514,CELF4,https://mygene2.org/MyGene2/variantsbygene?gene=CELF4,1,,,
515,CENPE,https://mygene2.org/MyGene2/variantsbygene?gene=CENPE,1,,,
516,CENPN,https://mygene2.org/MyGene2/variantsbygene?gene=CENPN,1,,,
517,CEP250,https://mygene2.org/MyGene2/variantsbygene?gene=CEP250,1,,,
518,CEP85L,https://mygene2.org/MyGene2/variantsbygene?gene=CEP85L,1,,,
519,CFAP47,https://mygene2.org/MyGene2/variantsbygene?gene=CFAP47,1,,,
520,CFTR,https://mygene2.org/MyGene2/variantsbygene?gene=CFTR,1,,,
521,CHAMP1,https://mygene2.org/MyGene2/variantsbygene?gene=CHAMP1,1,,,
522,CHD1,https://mygene2.org/MyGene2/variantsbygene?gene=CHD1,1,,,
523,CHD5,https://mygene2.org/MyGene2/variantsbygene?gene=CHD5,1,,,
524,CHIC2,https://mygene2.org/MyGene2/variantsbygene?gene=CHIC2,1,,,
525,CHKB,https://mygene2.org/MyGene2/variantsbygene?gene=CHKB,1,,,
526,CHMP2A,https://mygene2.org/MyGene2/variantsbygene?gene=CHMP2A,1,,,
527,CHMP4B,https://mygene2.org/MyGene2/variantsbygene?gene=CHMP4B,1,,,
528,CHRM4,https://mygene2.org/MyGene2/variantsbygene?gene=CHRM4,1,,,
529,CHRNA1,https://mygene2.org/MyGene2/variantsbygene?gene=CHRNA1,1,,,
530,CHRNA2,https://mygene2.org/MyGene2/variantsbygene?gene=CHRNA2,1,,,
531,CHRNB1,https://mygene2.org/MyGene2/variantsbygene?gene=CHRNB1,1,,,
532,CHRNB2,https://mygene2.org/MyGene2/variantsbygene?gene=CHRNB2,1,,,
533,CHRND,https://mygene2.org/MyGene2/variantsbygene?gene=CHRND,1,,,
534,CHST2,https://mygene2.org/MyGene2/variantsbygene?gene=CHST2,1,,,
535,CIB1,https://mygene2.org/MyGene2/variantsbygene?gene=CIB1,1,,,
536,CITED2,https://mygene2.org/MyGene2/variantsbygene?gene=CITED2,1,,,
537,CLCC1,https://mygene2.org/MyGene2/variantsbygene?gene=CLCC1,1,,,
538,CLCN1,https://mygene2.org/MyGene2/variantsbygene?gene=CLCN1,1,,,
539,CLCN3,https://mygene2.org/MyGene2/variantsbygene?gene=CLCN3,1,,,
540,CLDN16,https://mygene2.org/MyGene2/variantsbygene?gene=CLDN16,1,,,
541,CLEC1B,https://mygene2.org/MyGene2/variantsbygene?gene=CLEC1B,1,,,
542,CLEC4M,https://mygene2.org/MyGene2/variantsbygene?gene=CLEC4M,1,,,
543,CLK2,https://mygene2.org/MyGene2/variantsbygene?gene=CLK2,1,,,
544,CLP1,https://mygene2.org/MyGene2/variantsbygene?gene=CLP1,1,,,
545,CLPP,https://mygene2.org/MyGene2/variantsbygene?gene=CLPP,1,,,
546,CLSTN3,https://mygene2.org/MyGene2/variantsbygene?gene=CLSTN3,1,,,
547,CLUAP1,https://mygene2.org/MyGene2/variantsbygene?gene=CLUAP1,1,,,
548,CMAS,https://mygene2.org/MyGene2/variantsbygene?gene=CMAS,1,,,
549,CMKLR1,https://mygene2.org/MyGene2/variantsbygene?gene=CMKLR1,1,,,
550,CMPK2,https://mygene2.org/MyGene2/variantsbygene?gene=CMPK2,1,,,
551,CNKSR1,https://mygene2.org/MyGene2/variantsbygene?gene=CNKSR1,1,,,
552,CNNM1,https://mygene2.org/MyGene2/variantsbygene?gene=CNNM1,1,,,
553,CNOT1,https://mygene2.org/MyGene2/variantsbygene?gene=CNOT1,1,,,
554,CNOT4,https://mygene2.org/MyGene2/variantsbygene?gene=CNOT4,1,,,
555,CNTN3,https://mygene2.org/MyGene2/variantsbygene?gene=CNTN3,1,,,
556,CNTN5,https://mygene2.org/MyGene2/variantsbygene?gene=CNTN5,1,,,
557,COG1,https://mygene2.org/MyGene2/variantsbygene?gene=COG1,1,,,
558,COG5,https://mygene2.org/MyGene2/variantsbygene?gene=COG5,1,,,
559,COG7,https://mygene2.org/MyGene2/variantsbygene?gene=COG7,1,,,
560,COL11A1,https://mygene2.org/MyGene2/variantsbygene?gene=COL11A1,1,,,
561,COL24A1,https://mygene2.org/MyGene2/variantsbygene?gene=COL24A1,1,,,
562,COL25A1,https://mygene2.org/MyGene2/variantsbygene?gene=COL25A1,1,,,
563,COL4A4,https://mygene2.org/MyGene2/variantsbygene?gene=COL4A4,1,,,
564,COL5A2,https://mygene2.org/MyGene2/variantsbygene?gene=COL5A2,1,,,
565,COL6A1,https://mygene2.org/MyGene2/variantsbygene?gene=COL6A1,1,,,
566,COL7A1,https://mygene2.org/MyGene2/variantsbygene?gene=COL7A1,1,,,
567,COL9A2,https://mygene2.org/MyGene2/variantsbygene?gene=COL9A2,1,,,
568,COL9A3,https://mygene2.org/MyGene2/variantsbygene?gene=COL9A3,1,,,
569,COMP,https://mygene2.org/MyGene2/variantsbygene?gene=COMP,1,,,
570,COPB2,https://mygene2.org/MyGene2/variantsbygene?gene=COPB2,1,,,
571,CPA6,https://mygene2.org/MyGene2/variantsbygene?gene=CPA6,1,,,
572,CPNE7,https://mygene2.org/MyGene2/variantsbygene?gene=CPNE7,1,,,
573,CPSF1,https://mygene2.org/MyGene2/variantsbygene?gene=CPSF1,1,,,
574,CPT2,https://mygene2.org/MyGene2/variantsbygene?gene=CPT2,1,,,
575,CRCP,https://mygene2.org/MyGene2/variantsbygene?gene=CRCP,1,,,
576,CRKL,https://mygene2.org/MyGene2/variantsbygene?gene=CRKL,1,,,
577,CRLF2,https://mygene2.org/MyGene2/variantsbygene?gene=CRLF2,1,,,
578,CSF1R,https://mygene2.org/MyGene2/variantsbygene?gene=CSF1R,1,,,
579,CSMD1,https://mygene2.org/MyGene2/variantsbygene?gene=CSMD1,1,,,
580,CSMD3,https://mygene2.org/MyGene2/variantsbygene?gene=CSMD3,1,,,
581,CSNK1D,https://mygene2.org/MyGene2/variantsbygene?gene=CSNK1D,1,,,
582,CSNK2B,https://mygene2.org/MyGene2/variantsbygene?gene=CSNK2B,1,,,
583,CTDP1,https://mygene2.org/MyGene2/variantsbygene?gene=CTDP1,1,,,
584,CTGF,https://mygene2.org/MyGene2/variantsbygene?gene=CTGF,1,,,
585,CTLA4,https://mygene2.org/MyGene2/variantsbygene?gene=CTLA4,1,,,
586,CTNNA3,https://mygene2.org/MyGene2/variantsbygene?gene=CTNNA3,1,,,
587,CTNND1,https://mygene2.org/MyGene2/variantsbygene?gene=CTNND1,1,,,
588,CUL1,https://mygene2.org/MyGene2/variantsbygene?gene=CUL1,1,,,
589,CUL4B,https://mygene2.org/MyGene2/variantsbygene?gene=CUL4B,1,,,
590,CUX1,https://mygene2.org/MyGene2/variantsbygene?gene=CUX1,1,,,
591,CYC1,https://mygene2.org/MyGene2/variantsbygene?gene=CYC1,1,,,
592,CYLD,https://mygene2.org/MyGene2/variantsbygene?gene=CYLD,1,,,
593,CYP11B1,https://mygene2.org/MyGene2/variantsbygene?gene=CYP11B1,1,,,
594,CYP11B2,https://mygene2.org/MyGene2/variantsbygene?gene=CYP11B2,1,,,
595,CYP2C9,https://mygene2.org/MyGene2/variantsbygene?gene=CYP2C9,1,,,
596,CYP4V2,https://mygene2.org/MyGene2/variantsbygene?gene=CYP4V2,1,,,
597,DACH1,https://mygene2.org/MyGene2/variantsbygene?gene=DACH1,1,,,
598,DBNL,https://mygene2.org/MyGene2/variantsbygene?gene=DBNL,1,,,
599,DCDC2,https://mygene2.org/MyGene2/variantsbygene?gene=DCDC2,1,,,
600,DCHS1,https://mygene2.org/MyGene2/variantsbygene?gene=DCHS1,1,,,
601,DDN,https://mygene2.org/MyGene2/variantsbygene?gene=DDN,1,,,
602,DDX55,https://mygene2.org/MyGene2/variantsbygene?gene=DDX55,1,,,
603,DEAF1,https://mygene2.org/MyGene2/variantsbygene?gene=DEAF1,1,,,
604,DENND5A,https://mygene2.org/MyGene2/variantsbygene?gene=DENND5A,1,,,
605,DENND6B,https://mygene2.org/MyGene2/variantsbygene?gene=DENND6B,1,,,
606,DEPTOR,https://mygene2.org/MyGene2/variantsbygene?gene=DEPTOR,1,,,
607,DFNB59,https://mygene2.org/MyGene2/variantsbygene?gene=DFNB59,1,,,
608,DGAT1,https://mygene2.org/MyGene2/variantsbygene?gene=DGAT1,1,,,
609,DGKH,https://mygene2.org/MyGene2/variantsbygene?gene=DGKH,1,,,
610,DHCR7,https://mygene2.org/MyGene2/variantsbygene?gene=DHCR7,1,,,
611,DHX16,https://mygene2.org/MyGene2/variantsbygene?gene=DHX16,1,,,
612,DHX33,https://mygene2.org/MyGene2/variantsbygene?gene=DHX33,1,,,
613,DHX38,https://mygene2.org/MyGene2/variantsbygene?gene=DHX38,1,,,
614,DIABLO,https://mygene2.org/MyGene2/variantsbygene?gene=DIABLO,1,,,
615,DIAPH1,https://mygene2.org/MyGene2/variantsbygene?gene=DIAPH1,1,,,
616,DIDO1,https://mygene2.org/MyGene2/variantsbygene?gene=DIDO1,1,,,
617,DIP2C,https://mygene2.org/MyGene2/variantsbygene?gene=DIP2C,1,,,
618,DISP3,https://mygene2.org/MyGene2/variantsbygene?gene=DISP3,1,,,
619,DLD,https://mygene2.org/MyGene2/variantsbygene?gene=DLD,1,,,
620,DLG3,https://mygene2.org/MyGene2/variantsbygene?gene=DLG3,1,,,
621,DMBT1,https://mygene2.org/MyGene2/variantsbygene?gene=DMBT1,1,,,
622,DMGDH,https://mygene2.org/MyGene2/variantsbygene?gene=DMGDH,1,,,
623,DMRTA2,https://mygene2.org/MyGene2/variantsbygene?gene=DMRTA2,1,,,
624,DMXL1,https://mygene2.org/MyGene2/variantsbygene?gene=DMXL1,1,,,
625,DNAH14,https://mygene2.org/MyGene2/variantsbygene?gene=DNAH14,1,,,
626,DNAH17,https://mygene2.org/MyGene2/variantsbygene?gene=DNAH17,1,,,
627,DNAH2,https://mygene2.org/MyGene2/variantsbygene?gene=DNAH2,1,,,
628,DNAH7,https://mygene2.org/MyGene2/variantsbygene?gene=DNAH7,1,,,
629,DNAH8,https://mygene2.org/MyGene2/variantsbygene?gene=DNAH8,1,,,
630,DNAJC6,https://mygene2.org/MyGene2/variantsbygene?gene=DNAJC6,1,,,
631,DNASE1L1,https://mygene2.org/MyGene2/variantsbygene?gene=DNASE1L1,1,,,
632,DNER,https://mygene2.org/MyGene2/variantsbygene?gene=DNER,1,,,
633,DNM1,https://mygene2.org/MyGene2/variantsbygene?gene=DNM1,1,,,
634,DNM1L,https://mygene2.org/MyGene2/variantsbygene?gene=DNM1L,1,,,
635,DNMT3A,https://mygene2.org/MyGene2/variantsbygene?gene=DNMT3A,1,,,
636,DNPEP,https://mygene2.org/MyGene2/variantsbygene?gene=DNPEP,1,,,
637,DOCK10,https://mygene2.org/MyGene2/variantsbygene?gene=DOCK10,1,,,
638,DOCK4,https://mygene2.org/MyGene2/variantsbygene?gene=DOCK4,1,,,
639,DOCK6,https://mygene2.org/MyGene2/variantsbygene?gene=DOCK6,1,,,
640,DOCK7,https://mygene2.org/MyGene2/variantsbygene?gene=DOCK7,1,,,
641,DOK7,https://mygene2.org/MyGene2/variantsbygene?gene=DOK7,1,,,
642,DOPEY2,https://mygene2.org/MyGene2/variantsbygene?gene=DOPEY2,1,,,
643,DPF2,https://mygene2.org/MyGene2/variantsbygene?gene=DPF2,1,,,
644,DUOX2,https://mygene2.org/MyGene2/variantsbygene?gene=DUOX2,1,,,
645,DUSP22,https://mygene2.org/MyGene2/variantsbygene?gene=DUSP22,1,,,
646,DVL2,https://mygene2.org/MyGene2/variantsbygene?gene=DVL2,1,,,
647,DYNC1LI1,https://mygene2.org/MyGene2/variantsbygene?gene=DYNC1LI1,1,,,
648,DYNC2LI1,https://mygene2.org/MyGene2/variantsbygene?gene=DYNC2LI1,1,,,
649,DYRK1A,https://mygene2.org/MyGene2/variantsbygene?gene=DYRK1A,1,,,
650,DYSF,https://mygene2.org/MyGene2/variantsbygene?gene=DYSF,1,,,
651,EBF3,https://mygene2.org/MyGene2/variantsbygene?gene=EBF3,1,,,
652,ECE1,https://mygene2.org/MyGene2/variantsbygene?gene=ECE1,1,,,
653,ECI1,https://mygene2.org/MyGene2/variantsbygene?gene=ECI1,1,,,
654,EDEM1,https://mygene2.org/MyGene2/variantsbygene?gene=EDEM1,1,,,
655,EFL1,https://mygene2.org/MyGene2/variantsbygene?gene=EFL1,1,,,
656,EFNB3,https://mygene2.org/MyGene2/variantsbygene?gene=EFNB3,1,,,
657,EFTUD1P1,https://mygene2.org/MyGene2/variantsbygene?gene=EFTUD1P1,1,,,
658,EFTUD2,https://mygene2.org/MyGene2/variantsbygene?gene=EFTUD2,1,,,
659,EGFL6,https://mygene2.org/MyGene2/variantsbygene?gene=EGFL6,1,,,
660,EGFR,https://mygene2.org/MyGene2/variantsbygene?gene=EGFR,1,,,
661,EI24,https://mygene2.org/MyGene2/variantsbygene?gene=EI24,1,,,
662,EID2,https://mygene2.org/MyGene2/variantsbygene?gene=EID2,1,,,
663,ELL3,https://mygene2.org/MyGene2/variantsbygene?gene=ELL3,1,,,
664,ELOVL3,https://mygene2.org/MyGene2/variantsbygene?gene=ELOVL3,1,,,
665,ELP2,https://mygene2.org/MyGene2/variantsbygene?gene=ELP2,1,,,
666,ELP6,https://mygene2.org/MyGene2/variantsbygene?gene=ELP6,1,,,
667,EMC1,https://mygene2.org/MyGene2/variantsbygene?gene=EMC1,1,,,
668,EMILIN1,https://mygene2.org/MyGene2/variantsbygene?gene=EMILIN1,1,,,
669,EML2,https://mygene2.org/MyGene2/variantsbygene?gene=EML2,1,,,
670,ENPP1,https://mygene2.org/MyGene2/variantsbygene?gene=ENPP1,1,,,
671,EOGT,https://mygene2.org/MyGene2/variantsbygene?gene=EOGT,1,,,
672,EPHB3,https://mygene2.org/MyGene2/variantsbygene?gene=EPHB3,1,,,
673,EPHB4,https://mygene2.org/MyGene2/variantsbygene?gene=EPHB4,1,,,
674,EPN2,https://mygene2.org/MyGene2/variantsbygene?gene=EPN2,1,,,
675,EPRS,https://mygene2.org/MyGene2/variantsbygene?gene=EPRS,1,,,
676,ERBB2,https://mygene2.org/MyGene2/variantsbygene?gene=ERBB2,1,,,
677,ERCC3,https://mygene2.org/MyGene2/variantsbygene?gene=ERCC3,1,,,
678,ERCC4,https://mygene2.org/MyGene2/variantsbygene?gene=ERCC4,1,,,
679,ERCC5,https://mygene2.org/MyGene2/variantsbygene?gene=ERCC5,1,,,
680,ETS2,https://mygene2.org/MyGene2/variantsbygene?gene=ETS2,1,,,
681,EVC,https://mygene2.org/MyGene2/variantsbygene?gene=EVC,1,,,
682,EXD3,https://mygene2.org/MyGene2/variantsbygene?gene=EXD3,1,,,
683,EXPH5,https://mygene2.org/MyGene2/variantsbygene?gene=EXPH5,1,,,
684,EXTL3,https://mygene2.org/MyGene2/variantsbygene?gene=EXTL3,1,,,
685,F10,https://mygene2.org/MyGene2/variantsbygene?gene=F10,1,,,
686,F8,https://mygene2.org/MyGene2/variantsbygene?gene=F8,1,,,
687,FAM177A1,https://mygene2.org/MyGene2/variantsbygene?gene=FAM177A1,1,,,
688,FAM189B,https://mygene2.org/MyGene2/variantsbygene?gene=FAM189B,1,,,
689,FAM210A,https://mygene2.org/MyGene2/variantsbygene?gene=FAM210A,1,,,
690,FAM92A1,https://mygene2.org/MyGene2/variantsbygene?gene=FAM92A1,1,,,
691,FASTKD2,https://mygene2.org/MyGene2/variantsbygene?gene=FASTKD2,1,,,
692,FAT1,https://mygene2.org/MyGene2/variantsbygene?gene=FAT1,1,,,
693,FAT2,https://mygene2.org/MyGene2/variantsbygene?gene=FAT2,1,,,
694,FAT4,https://mygene2.org/MyGene2/variantsbygene?gene=FAT4,1,,,
695,FBN1,https://mygene2.org/MyGene2/variantsbygene?gene=FBN1,1,,,
696,FBXO7,https://mygene2.org/MyGene2/variantsbygene?gene=FBXO7,1,,,
697,FBXW7,https://mygene2.org/MyGene2/variantsbygene?gene=FBXW7,1,,,
698,FCHSD2,https://mygene2.org/MyGene2/variantsbygene?gene=FCHSD2,1,,,
699,FDX1,https://mygene2.org/MyGene2/variantsbygene?gene=FDX1,1,,,
700,FGD1,https://mygene2.org/MyGene2/variantsbygene?gene=FGD1,1,,,
701,FGD4,https://mygene2.org/MyGene2/variantsbygene?gene=FGD4,1,,,
702,FGF1,https://mygene2.org/MyGene2/variantsbygene?gene=FGF1,1,,,
703,FGF10,https://mygene2.org/MyGene2/variantsbygene?gene=FGF10,1,,,
704,FGFR2,https://mygene2.org/MyGene2/variantsbygene?gene=FGFR2,1,,,
705,FGR,https://mygene2.org/MyGene2/variantsbygene?gene=FGR,1,,,
706,FHOD3,https://mygene2.org/MyGene2/variantsbygene?gene=FHOD3,1,,,
707,FIG4,https://mygene2.org/MyGene2/variantsbygene?gene=FIG4,1,,,
708,FKRP,https://mygene2.org/MyGene2/variantsbygene?gene=FKRP,1,,,
709,FKTN,https://mygene2.org/MyGene2/variantsbygene?gene=FKTN,1,,,
710,FLRT1,https://mygene2.org/MyGene2/variantsbygene?gene=FLRT1,1,,,
711,FLT1,https://mygene2.org/MyGene2/variantsbygene?gene=FLT1,1,,,
712,FLT3,https://mygene2.org/MyGene2/variantsbygene?gene=FLT3,1,,,
713,FLT4,https://mygene2.org/MyGene2/variantsbygene?gene=FLT4,1,,,
714,FMN1,https://mygene2.org/MyGene2/variantsbygene?gene=FMN1,1,,,
715,FMN2,https://mygene2.org/MyGene2/variantsbygene?gene=FMN2,1,,,
716,FMR1,https://mygene2.org/MyGene2/variantsbygene?gene=FMR1,1,,,
717,FOXC1,https://mygene2.org/MyGene2/variantsbygene?gene=FOXC1,1,,,
718,FOXC2,https://mygene2.org/MyGene2/variantsbygene?gene=FOXC2,1,,,
719,FOXE1,https://mygene2.org/MyGene2/variantsbygene?gene=FOXE1,1,,,
720,FOXE3,https://mygene2.org/MyGene2/variantsbygene?gene=FOXE3,1,,,
721,FOXI1,https://mygene2.org/MyGene2/variantsbygene?gene=FOXI1,1,,,
722,FOXP2,https://mygene2.org/MyGene2/variantsbygene?gene=FOXP2,1,,,
723,FOXP3,https://mygene2.org/MyGene2/variantsbygene?gene=FOXP3,1,,,
724,FOXP4,https://mygene2.org/MyGene2/variantsbygene?gene=FOXP4,1,,,
725,FRMPD1,https://mygene2.org/MyGene2/variantsbygene?gene=FRMPD1,1,,,
726,FRRS1L,https://mygene2.org/MyGene2/variantsbygene?gene=FRRS1L,1,,,
727,FRYL,https://mygene2.org/MyGene2/variantsbygene?gene=FRYL,1,,,
728,FSCN2,https://mygene2.org/MyGene2/variantsbygene?gene=FSCN2,1,,,
729,FST,https://mygene2.org/MyGene2/variantsbygene?gene=FST,1,,,
730,FUK,https://mygene2.org/MyGene2/variantsbygene?gene=FUK,1,,,
731,FUZ,https://mygene2.org/MyGene2/variantsbygene?gene=FUZ,1,,,
732,FXR1,https://mygene2.org/MyGene2/variantsbygene?gene=FXR1,1,,,
733,FZD3,https://mygene2.org/MyGene2/variantsbygene?gene=FZD3,1,,,
734,GAA,https://mygene2.org/MyGene2/variantsbygene?gene=GAA,1,,,
735,GABRA1,https://mygene2.org/MyGene2/variantsbygene?gene=GABRA1,1,,,
736,GABRB2,https://mygene2.org/MyGene2/variantsbygene?gene=GABRB2,1,,,
737,GABRG2,https://mygene2.org/MyGene2/variantsbygene?gene=GABRG2,1,,,
738,GALK1,https://mygene2.org/MyGene2/variantsbygene?gene=GALK1,1,,,
739,GARNL3,https://mygene2.org/MyGene2/variantsbygene?gene=GARNL3,1,,,
740,GATA6,https://mygene2.org/MyGene2/variantsbygene?gene=GATA6,1,,,
741,GATAD2B,https://mygene2.org/MyGene2/variantsbygene?gene=GATAD2B,1,,,
742,GBA,https://mygene2.org/MyGene2/variantsbygene?gene=GBA,1,,,
743,GBE1,https://mygene2.org/MyGene2/variantsbygene?gene=GBE1,1,,,
744,GBF1,https://mygene2.org/MyGene2/variantsbygene?gene=GBF1,1,,,
745,GDF10,https://mygene2.org/MyGene2/variantsbygene?gene=GDF10,1,,,
746,GDF11,https://mygene2.org/MyGene2/variantsbygene?gene=GDF11,1,,,
747,GET4,https://mygene2.org/MyGene2/variantsbygene?gene=GET4,1,,,
748,GFPT2,https://mygene2.org/MyGene2/variantsbygene?gene=GFPT2,1,,,
749,GGA3,https://mygene2.org/MyGene2/variantsbygene?gene=GGA3,1,,,
750,GGCX,https://mygene2.org/MyGene2/variantsbygene?gene=GGCX,1,,,
751,GHITM,https://mygene2.org/MyGene2/variantsbygene?gene=GHITM,1,,,
752,GJD3,https://mygene2.org/MyGene2/variantsbygene?gene=GJD3,1,,,
753,GNA01,https://mygene2.org/MyGene2/variantsbygene?gene=GNA01,1,,,
754,GNAI1,https://mygene2.org/MyGene2/variantsbygene?gene=GNAI1,1,,,
755,GNAO1,https://mygene2.org/MyGene2/variantsbygene?gene=GNAO1,1,,,
756,GNB3,https://mygene2.org/MyGene2/variantsbygene?gene=GNB3,1,,,
757,GNE,https://mygene2.org/MyGene2/variantsbygene?gene=GNE,1,,,
758,GNPDA1,https://mygene2.org/MyGene2/variantsbygene?gene=GNPDA1,1,,,
759,GOLGA8N,https://mygene2.org/MyGene2/variantsbygene?gene=GOLGA8N,1,,,
760,GP9,https://mygene2.org/MyGene2/variantsbygene?gene=GP9,1,,,
761,GPR17,https://mygene2.org/MyGene2/variantsbygene?gene=GPR17,1,,,
762,GPR33,https://mygene2.org/MyGene2/variantsbygene?gene=GPR33,1,,,
763,GPR87,https://mygene2.org/MyGene2/variantsbygene?gene=GPR87,1,,,
764,GPRASP1,https://mygene2.org/MyGene2/variantsbygene?gene=GPRASP1,1,,,
765,GPSM2,https://mygene2.org/MyGene2/variantsbygene?gene=GPSM2,1,,,
766,GPX4,https://mygene2.org/MyGene2/variantsbygene?gene=GPX4,1,,,
767,GRB2,https://mygene2.org/MyGene2/variantsbygene?gene=GRB2,1,,,
768,GREB1,https://mygene2.org/MyGene2/variantsbygene?gene=GREB1,1,,,
769,GRIA2,https://mygene2.org/MyGene2/variantsbygene?gene=GRIA2,1,,,
770,GRIA3,https://mygene2.org/MyGene2/variantsbygene?gene=GRIA3,1,,,
771,GRID1,https://mygene2.org/MyGene2/variantsbygene?gene=GRID1,1,,,
772,GRIK5,https://mygene2.org/MyGene2/variantsbygene?gene=GRIK5,1,,,
773,GSG1,https://mygene2.org/MyGene2/variantsbygene?gene=GSG1,1,,,
774,GSK3A,https://mygene2.org/MyGene2/variantsbygene?gene=GSK3A,1,,,
775,GSK3B,https://mygene2.org/MyGene2/variantsbygene?gene=GSK3B,1,,,
776,GTPBP3,https://mygene2.org/MyGene2/variantsbygene?gene=GTPBP3,1,,,
777,GUCY1B3,https://mygene2.org/MyGene2/variantsbygene?gene=GUCY1B3,1,,,
778,GXYLT1,https://mygene2.org/MyGene2/variantsbygene?gene=GXYLT1,1,,,
779,GYS1,https://mygene2.org/MyGene2/variantsbygene?gene=GYS1,1,,,
780,H3F3B,https://mygene2.org/MyGene2/variantsbygene?gene=H3F3B,1,,,
781,H6PD,https://mygene2.org/MyGene2/variantsbygene?gene=H6PD,1,,,
782,HAVCR2,https://mygene2.org/MyGene2/variantsbygene?gene=HAVCR2,1,,,
783,HCCS,https://mygene2.org/MyGene2/variantsbygene?gene=HCCS,1,,,
784,HCLS1,https://mygene2.org/MyGene2/variantsbygene?gene=HCLS1,1,,,
785,HCN4,https://mygene2.org/MyGene2/variantsbygene?gene=HCN4,1,,,
786,HDAC8,https://mygene2.org/MyGene2/variantsbygene?gene=HDAC8,1,,,
787,HDLBP,https://mygene2.org/MyGene2/variantsbygene?gene=HDLBP,1,,,
788,HECW2,https://mygene2.org/MyGene2/variantsbygene?gene=HECW2,1,,,
789,HEXA,https://mygene2.org/MyGene2/variantsbygene?gene=HEXA,1,,,
790,HGF,https://mygene2.org/MyGene2/variantsbygene?gene=HGF,1,,,
791,HID1,https://mygene2.org/MyGene2/variantsbygene?gene=HID1,1,,,
792,HIST1H2AC,https://mygene2.org/MyGene2/variantsbygene?gene=HIST1H2AC,1,,,
793,HIST1H4D,https://mygene2.org/MyGene2/variantsbygene?gene=HIST1H4D,1,,,
794,HIVEP2,https://mygene2.org/MyGene2/variantsbygene?gene=HIVEP2,1,,,
795,HK1,https://mygene2.org/MyGene2/variantsbygene?gene=HK1,1,,,
796,HK3,https://mygene2.org/MyGene2/variantsbygene?gene=HK3,1,,,
797,HKDC1,https://mygene2.org/MyGene2/variantsbygene?gene=HKDC1,1,,,
798,HMGN1,https://mygene2.org/MyGene2/variantsbygene?gene=HMGN1,1,,,
799,HMHB1,https://mygene2.org/MyGene2/variantsbygene?gene=HMHB1,1,,,
800,HMOX1,https://mygene2.org/MyGene2/variantsbygene?gene=HMOX1,1,,,
801,HNF1A,https://mygene2.org/MyGene2/variantsbygene?gene=HNF1A,1,,,
802,HNF1B,https://mygene2.org/MyGene2/variantsbygene?gene=HNF1B,1,,,
803,HNF4A,https://mygene2.org/MyGene2/variantsbygene?gene=HNF4A,1,,,
804,HNRNPC,https://mygene2.org/MyGene2/variantsbygene?gene=HNRNPC,1,,,
805,HNRNPH2,https://mygene2.org/MyGene2/variantsbygene?gene=HNRNPH2,1,,,
806,HNRNPK,https://mygene2.org/MyGene2/variantsbygene?gene=HNRNPK,1,,,
807,HNRNPM,https://mygene2.org/MyGene2/variantsbygene?gene=HNRNPM,1,,,
808,HOXA3,https://mygene2.org/MyGene2/variantsbygene?gene=HOXA3,1,,,
809,HOXD13,https://mygene2.org/MyGene2/variantsbygene?gene=HOXD13,1,,,
810,HPS3,https://mygene2.org/MyGene2/variantsbygene?gene=HPS3,1,,,
811,HSBP1,https://mygene2.org/MyGene2/variantsbygene?gene=HSBP1,1,,,
812,HSF1,https://mygene2.org/MyGene2/variantsbygene?gene=HSF1,1,,,
813,HSP90AA1,https://mygene2.org/MyGene2/variantsbygene?gene=HSP90AA1,1,,,
814,HTR2A,https://mygene2.org/MyGene2/variantsbygene?gene=HTR2A,1,,,
815,HTT,https://mygene2.org/MyGene2/variantsbygene?gene=HTT,1,,,
816,HYLS1,https://mygene2.org/MyGene2/variantsbygene?gene=HYLS1,1,,,
817,ICK,https://mygene2.org/MyGene2/variantsbygene?gene=ICK,1,,,
818,IFNGR1,https://mygene2.org/MyGene2/variantsbygene?gene=IFNGR1,1,,,
819,IFT172,https://mygene2.org/MyGene2/variantsbygene?gene=IFT172,1,,,
820,IFT43,https://mygene2.org/MyGene2/variantsbygene?gene=IFT43,1,,,
821,IFT52,https://mygene2.org/MyGene2/variantsbygene?gene=IFT52,1,,,
822,IFT74,https://mygene2.org/MyGene2/variantsbygene?gene=IFT74,1,,,
823,IFT81,https://mygene2.org/MyGene2/variantsbygene?gene=IFT81,1,,,
824,IGF2BP3,https://mygene2.org/MyGene2/variantsbygene?gene=IGF2BP3,1,,,
825,IGFN1,https://mygene2.org/MyGene2/variantsbygene?gene=IGFN1,1,,,
826,IGSF21,https://mygene2.org/MyGene2/variantsbygene?gene=IGSF21,1,,,
827,IKZF2,https://mygene2.org/MyGene2/variantsbygene?gene=IKZF2,1,,,
828,IL10,https://mygene2.org/MyGene2/variantsbygene?gene=IL10,1,,,
